*001:  01:                :0000:                    
*001:  02:                :0000:                    
*001:  03:                :0000:                    
*001:  04:                :0000:                    
*001:  05:                :0000:                    
*001:  06:                :0000:                    
*001:  07:                :0000:                    
*001:  08:                :0000:                    
*001:  09:                :0000:                    
*001:  10:                :0000:                    
*001:  11:                :0000:                    
*001:  12:                :0000:                    
*001:  13:                :0000:                    
*001:  14:                :0000:                    
*001:  15:                :0000:                    
*001:  16:                :0000:                    
*001:  17:                :0000:                    
*001:  18:                :0000:                    
*001:  19:                :0000:                    
*001:  20:                :0000:                    
*002:  01:                :0000:                    
*002:  02:                :0000:                    
*002:  03:                :0000:                    
*002:  04:                :0000:                    
*002:  05:                :0000:                    
*002:  06:                :0000:                    
*002:  07:                :0000:                    
*002:  08:                :0000:                    
*002:  09:                :0000:                    
*002:  10:                :0000:                    
*002:  11:                :0000:                    
*002:  12:                :0000:                    
*002:  13:                :0000:                    
*002:  14:                :0000:                    
*002:  15:                :0000:                    
*002:  16:                :0000:                    
*002:  17:                :0000:                    
*002:  18:                :0000:                    
*002:  19:                :0000:                    
*002:  20:                :0000:                    
*003:  01:                :0000:                    
*003:  02:                :0000:                    
*003:  03:                :0000:                    
*003:  04:                :0000:                    
*003:  05:                :0000:                    
*003:  06:                :0000:                    
*003:  07:                :0000:                    
*003:  08:                :0000:                    
*003:  09:                :0000:                    
*003:  10:                :0000:                    
*003:  11:                :0000:                    
*003:  12:                :0000:                    
*003:  13:                :0000:                    
*003:  14:                :0000:                    
*003:  15:                :0000:                    
*003:  16:                :0000:                    
*003:  17:                :0000:                    
*003:  18:                :0000:                    
*003:  19:                :0000:                    
*003:  20:                :0000:                    
*004:  01:                :0000:                    
*004:  02:                :0000:                    
*004:  03:                :0000:                    
*004:  04:                :0000:                    
*004:  05:                :0000:                    
*004:  06:                :0000:                    
*004:  07:                :0000:                    
*004:  08:                :0000:                    
*004:  09:                :0000:                    
*004:  10:                :0000:                    
*004:  11:                :0000:                    
*004:  12:                :0000:                    
*004:  13:                :0000:                    
*004:  14:                :0000:                    
*004:  15:                :0000:                    
*004:  16:                :0000:                    
*004:  17:                :0000:                    
*004:  18:                :0000:                    
*004:  19:                :0000:                    
*004:  20:                :0000:                    
*005:  01:                :0000:                    
*005:  02:                :0000:                    
*005:  03:                :0000:                    
*005:  04:                :0000:                    
*005:  05:                :0000:                    
*005:  06:                :0000:                    
*005:  07:                :0000:                    
*005:  08:                :0000:                    
*005:  09:                :0000:                    
*005:  10:                :0000:                    
*005:  11:                :0000:                    
*005:  12:                :0000:                    
*005:  13:                :0000:                    
*005:  14:                :0000:                    
*005:  15:                :0000:                    
*005:  16:                :0000:                    
*005:  17:                :0000:                    
*005:  18:                :0000:                    
*005:  19:                :0000:                    
*005:  20:                :0000:                    
*006:  01:                :0000:                    
*006:  02:                :0000:                    
*006:  03:                :0000:                    
*006:  04:                :0000:                    
*006:  05:                :0000:                    
*006:  06:                :0000:                    
*006:  07:                :0000:                    
*006:  08:                :0000:                    
*006:  09:                :0000:                    
*006:  10:                :0000:                    
*006:  11:                :0000:                    
*006:  12:                :0000:                    
*006:  13:                :0000:                    
*006:  14:                :0000:                    
*006:  15:                :0000:                    
*006:  16:                :0000:                    
*006:  17:                :0000:                    
*006:  18:                :0000:                    
*006:  19:                :0000:                    
*006:  20:                :0000:                    
*007:  01:                :0000:                    
*007:  02:                :0000:                    
*007:  03:                :0000:                    
*007:  04:                :0000:                    
*007:  05:                :0000:                    
*007:  06:                :0000:                    
*007:  07:                :0000:                    
*007:  08:                :0000:                    
*007:  09:                :0000:                    
*007:  10:                :0000:                    
*007:  11:                :0000:                    
*007:  12:                :0000:                    
*007:  13:                :0000:                    
*007:  14:                :0000:                    
*007:  15:                :0000:                    
*007:  16:                :0000:                    
*007:  17:                :0000:                    
*007:  18:                :0000:                    
*007:  19:                :0000:                    
*007:  20:                :0000:                    
*008:  01:                :0000:                    
*008:  02:                :0000:                    
*008:  03:                :0000:                    
*008:  04:                :0000:                    
*008:  05:                :0000:                    
*008:  06:                :0000:                    
*008:  07:                :0000:                    
*008:  08:                :0000:                    
*008:  09:                :0000:                    
*008:  10:                :0000:                    
*008:  11:                :0000:                    
*008:  12:                :0000:                    
*008:  13:                :0000:                    
*008:  14:                :0000:                    
*008:  15:                :0000:                    
*008:  16:                :0000:                    
*008:  17:                :0000:                    
*008:  18:                :0000:                    
*008:  19:                :0000:                    
*008:  20:                :0000:                    
*009:  01:          547236:0000:                    
*009:  02:         2356463:0000:                    
*009:  03:          785578:0000:                    
*009:  04:                :0000:                    
*009:  05:                :0000:                    
*009:  06:                :0000:                    
*009:  07:          445555:0000:                    
*009:  08:                :0000:                    
*009:  09:                :0000:                    
*009:  10:          462678:0000:                    
*009:  11:                :0000:                    
*009:  12:                :0000:                    
*009:  13:                :0000:                    
*009:  14:                :0000:                    
*009:  15:                :0000:                    
*009:  16:                :0000:                    
*009:  17:                :0000:                    
*009:  18:                :0000:                    
*009:  19:                :0000:                    
*009:  20:                :0000:                    
*010:  01:                :0000:                    
*010:  02:                :0000:                    
*010:  03:                :0000:                    
*010:  04:                :0000:                    
*010:  05:                :0000:                    
*010:  06:                :0000:                    
*010:  07:                :0000:                    
*010:  08:                :0000:                    
*010:  09:                :0000:                    
*010:  10:                :0000:                    
*010:  11:                :0000:                    
*010:  12:                :0000:                    
*010:  13:                :0000:                    
*010:  14:                :0000:                    
*010:  15:                :0000:                    
*010:  16:                :0000:                    
*010:  17:                :0000:                    
*010:  18:                :0000:                    
*010:  19:                :0000:                    
*010:  20:                :0000:                    
*011:  01:                :0000:                    
*011:  02:                :0000:                    
*011:  03:                :0000:                    
*011:  04:                :0000:                    
*011:  05:                :0000:                    
*011:  06:                :0000:                    
*011:  07:                :0000:                    
*011:  08:                :0000:                    
*011:  09:                :0000:                    
*011:  10:                :0000:                    
*011:  11:                :0000:                    
*011:  12:                :0000:                    
*011:  13:                :0000:                    
*011:  14:                :0000:                    
*011:  15:                :0000:                    
*011:  16:                :0000:                    
*011:  17:                :0000:                    
*011:  18:                :0000:                    
*011:  19:                :0000:                    
*011:  20:                :0000:                    
*012:  01:                :0000:                    
*012:  02:                :0000:                    
*012:  03:                :0000:                    
*012:  04:                :0000:                    
*012:  05:                :0000:                    
*012:  06:                :0000:                    
*012:  07:                :0000:                    
*012:  08:                :0000:                    
*012:  09:                :0000:                    
*012:  10:                :0000:                    
*012:  11:                :0000:                    
*012:  12:                :0000:                    
*012:  13:                :0000:                    
*012:  14:                :0000:                    
*012:  15:                :0000:                    
*012:  16:                :0000:                    
*012:  17:                :0000:                    
*012:  18:                :0000:                    
*012:  19:                :0000:                    
*012:  20:                :0000:                    
