*001:  01:                :0000:                    
*001:  02:                :0000:                    
*001:  03:                :0000:                    
*001:  04:                :0000:                    
*001:  05:                :0000:                    
*001:  06:                :0000:                    
*001:  07:                :0000:                    
*001:  08:                :0000:                    
*001:  09:                :0000:                    
*001:  10:                :0000:                    
*001:  11:                :0000:                    
*001:  12:                :0000:                    
*001:  13:                :0000:                    
*001:  14:                :0000:                    
*001:  15:                :0000:                    
*001:  16:                :0000:                    
*001:  17:                :0000:                    
*001:  18:                :0000:                    
*001:  19:                :0000:                    
*001:  20:                :0000:                    
*001:  01:                :0000:                    
*001:  02:                :0000:                    
*001:  03:                :0000:                    
*001:  04:                :0000:                    
*001:  05:                :0000:                    
*001:  06:                :0000:                    
*001:  07:                :0000:                    
*001:  08:                :0000:                    
*001:  09:                :0000:                    
*001:  10:                :0000:                    
*001:  11:                :0000:                    
*001:  12:                :0000:                    
*001:  13:                :0000:                    
*001:  14:                :0000:                    
*001:  15:                :0000:                    
*001:  16:                :0000:                    
*001:  17:                :0000:                    
*001:  18:                :0000:                    
*001:  19:                :0000:                    
*001:  20:                :0000:                    
*002:  01:         2356463:0000:                    
*002:  02:                :0000:                    
*002:  03:                :0000:                    
*002:  04:                :0000:                    
*002:  05:                :0000:                    
*002:  06:                :0000:                    
*002:  07:                :0000:                    
*002:  08:                :0000:                    
*002:  09:                :0000:                    
*002:  10:                :0000:                    
*002:  11:          445555:0000:                    
*002:  12:                :0000:                    
*002:  13:                :0000:                    
*002:  14:                :0000:                    
*002:  15:                :0000:                    
*002:  16:                :0000:                    
*002:  17:                :0000:                    
*002:  18:                :0000:                    
*002:  19:                :0000:                    
*002:  20:                :0000:                    
*002:  01:         2356463:0000:                    
*002:  02:                :0000:                    
*002:  03:                :0000:                    
*002:  04:                :0000:                    
*002:  05:                :0000:                    
*002:  06:                :0000:                    
*002:  07:                :0000:                    
*002:  08:                :0000:                    
*002:  09:                :0000:                    
*002:  10:                :0000:                    
*002:  11:                :0000:                    
*002:  12:                :0000:                    
*002:  13:                :0000:                    
*002:  14:                :0000:                    
*002:  15:                :0000:                    
*002:  16:                :0000:                    
*002:  17:                :0000:                    
*002:  18:                :0000:                    
*002:  19:                :0000:                    
*002:  20:                :0000:                    
